TABLE,SHORT_SOURCE,FULL_CITATION
"TexasISROperations.csv, AreaInformation.csv","Beahm, 2016","Beahm, D.L., 2016, ALTA MESA URANIUM PROJECT, ALTA MESA AND MESTEÑA GRANDE (a) MINERAL RESOURCES AND EXPLORATION TARGET, TECHNICAL REPORT NATIONAL INSTRUMENT 43-101, found at:  https://www.sedar.com/CheckCode.do;jsessionid=0000esWQeDx9Xp9q8xpwtbXlxtH:1884ter20. EFR Alta Mesa LLC / Energy Fuels, Inc., p. 98."
DisposalVolumes.csv,"ChevronRC, 1981","Chevron Resources Company, July 1, 1981, Injection Well Report of Operation,  Permit No. WDW-134, Duval County, Texas"
DisposalVolumes.csv,"ChevronRC, 1982a","Chevron Resources Company, January 7, 1982a, Injection Well Report of Operation,  Permit No. WDW-134, Duval County, Texas"
DisposalVolumes.csv,"ChevronRC, 1982b","Chevron Resources Company, July 7, 1982b, Injection Well Report of Operation,  Permit No. WDW-134, Duval County, Texas"
DisposalVolumes.csv,"ChevronRC, 1983","Chevron Resources Company, January 3, 1983, Injection Well Report of Operation,  Permit No. WDW-134, Duval County, Texas"
DisposalVolumes.csv,"ChevronRC, 1990","Chevron Resources Company, April 9, 1990, Completed Injection Report for DDW-134, 1p."
"DisposalVolumes.csv, Restoration.csv","ChevronRC, 1994","Chevron Resources Company, September 25, 1994, Restoration Table Amendment Request for Production Area Authorization (PAA) No. 1, Palangana Operation, Duval County, Permit No. UR02051 (Letter to Dale P. Kohler, UIC, Texas Natural Resource Conservation Commission)"
DisposalVolumes.csv,"ChevronUSA, 1984","Chevron U.S.A., Inc., April 16, 1984, Palangana Dome Site, Monthly Effluent Data, Permit WWD000134 (page 162)"
DisposalVolumes.csv,"ChevronUSA, 1985","Chevron U.S.A., Inc., April 22, 1985, Palangana Dome Site, Monthly Effluent Data, Permit WWD000134 (page 286)"
DisposalVolumes.csv,"ChevronUSA, 1986","Chevron U.S.A., Inc., July 8, 1986, Palangana Dome Site, Monthly Effluent Data, Permit WWD000134 (page not shown)"
"TexasISROperations.csv, AquiferExemptions.csv","DOE, 1989","U.S. Department of Energy, Energy Information Administration, Martin Marietta energy systems, Inc. (Nuclear Assurance Corporation), December 5, 1989, Uranium In Situ Leach Mining for the 1990s Cost Study:  NAC-C-89025"
DisposalVolumes.csv,"EFR, 2016","EFR Alta Mesa, LLC, Quarter 4, 2016, Quarterly Injection Report for WDW-366, Received by Texas Commission on Environmental Quality, January 18, 2017, 2p."
DisposalVolumes.csv,"EFR, 2017a","EFR Alta Mesa, LLC, Quarter 1, 2017a, Quarterly Injection Report for WDW-366, Received by Texas Commission on Environmental Quality, April 12, 2017, 2p."
DisposalVolumes.csv,"EFR, 2017b","EFR Alta Mesa, LLC, Quarter 2, 2017b, Quarterly Injection Report for WDW-366, Received by Texas Commission on Environmental Quality, July 18, 2018, 2p."
DisposalVolumes.csv,"EMC, 2006","Energy Metals Corporation, June 30, 2006, UNITED STATES SECURITIES AND EXCHANGE COMMISSION, Annual Information Form For the fiscal year ended June 30, 2006. WASHINGTON, D.C. 20549Online https://www.sec.gov/Archives/edgar/data/1361605/000106299306003042/exhibit99-1.htm, Accessed on 10/3/19: 106."
AquiferExemptions.csv,"EPA, 2018","U.S. Environmental Protection Agency, 2018, Source of Data:  USEPA, 2018, Aquifer Exemption Data,  downloaded by Tanya Gallegos on 4/16/18 11:45a from: https://www.epa.gov/uic/aquifer-exemption-data."
"AreaInformation.csv, Restoration.csv","EverestEX, 1992a","Everest Exploration, Inc., June 24, 1992 (estimated)a, Request for amendment to Permit No. 02381-021 (EA Wellfield) to Modify Restoration Table, 56 p."
"AreaInformation.csv, Restoration.csv","EverestEX, 1992b","Everest Exploration, Inc., July 8, 1992b, Request for amendment to Permit No. 02381-051 (Lillian Wellfield) to Modify Restoration Table, 53 p."
"AreaInformation.csv, Restoration.csv","EverestEX, 1993","Everest Exploration, Inc., April 21, 1993, Everest Exploration, Inc. Mt. Lucas Project Production Area No. 4 UR 02381-041 Restoration Table Amendment. Corpus Christi, TX, Texas Water Commission UIC Uranium and Radioactive Waste: 64."
Restoration.csv,"EverestEX, 1994a","Everest Exploration, Inc., October 28, 1994a, Mt. Lucas Project Production Area No. 6 UR02381-061 Restoration Table Amendment Request for amendment to Permit No. 02381-061 (M Wellfield) to Modify Restoration Table, 52 p."
AreaInformation.csv,"EverestEX, 1994b","Everest Exploration, Inc., October, 28, 1994b, Request for amendment to Permit No. 02381-061 (M Wellfield) to Modify Restoration Table, 52 p."
Restoration.csv,"EverestEX, 1995a","Everest Exploration, Inc., March 17, 1995a, Mt. Lucas Project, Production Area No. 8, UR02381-081 Restoration Table Amendment, Request for amendment to Permit No. 02381-081 (South J Wellfield) to Modify Restoration Table, 58 p."
"AreaInformation.csv, Restoration.csv","EverestEX, 1995b","Everest Exploration, Inc., November 14, 1995b, Request for amendment to Permit No. 02381-071 (J Wellfield) to Modify Restoration Table, 58 p."
"AreaInformation.csv, Restoration.csv","EverestMC, 1980","Everest Minerals Corporation, February 1980, Mt. Lucas Project of Everest Minerals Corporation:  Application to the Texas Department of Water Resources. Corpus Christi, TX, Division of Environmental Programs Bureau of Radiation Control Texas Department of Health: 266 p."
AreaInformation.csv,"EverestMC, 1981","Everest Minerals Corporation, July 24, 1981, ENVIRONMENTAL ASSESSMENT RELATED TO MT. LUCAS PROJECT LIVE OAK COUNTY, TEXAS, Division of Environmental Programs Bureau of Radiation Control Texas Department of Health."
AreaInformation.csv,"EverestMC, 1983","Everest Minerals Corporation, October  24,1983, Application for Permit Amendment to the Texas Department of Water Resources Permit No. 02381:  Mt. Lucas/Mt. Lucas West, 113 p."
DisposalVolumes.csv,"EverestMC, 1986a","Everest Minerals Corporation, June 11, 1986a, Mt. Lucas Project of Everest Exploration, Inc. Application for Production Area Authorization  to the Texas Department of Water Resources:  Production Area No. 7. Mt. Lucas (UR02381-071) Corpus Christi, TX, Division of Environmental Programs Bureau of Radiation Control Texas Department of Health: 320 p."
"AreaInformation.csv, AquiferExemptions.csv, Restoration.csv","EverestMC, 1986b","Everest Minerals Corporation, November 3, 1986b, Mt. Lucas Project of Everest Minerals Corporation:  Application for Production Area Authorization  to the Texas Department of Water Resources: ""South J-Sand"" production area No. 8. Mt. Lucas (UR02381-081) Corpus Christi, TX, Division of Environmental Programs Bureau of Radiation Control Texas Department of Health: 266 p."
DisposalVolumes.csv,"Heitzenrater, 2017","Heitzenrater, R., November 2, 2017, UIC Compliance Team, TCEQ Region 14, Corpus Christi, TX, Personal communication"
TexasISROperations.csv,"IAEA, 1980","International Atomic Energy Agency, 1980, Significance of Mineralogy in the Development of Flowsheets for Processing Uranium Ores. Vienna, Austria: International Atomic Energy Association."
"TexasISROperations.csv, AreaInformation.csv, AquiferExemptions.csv","IAEA, 2016","International Atomic Energy Agency, 2016, Title (book): In-Situ Uranium Mining: An Overview of Operations, IAEA Nuclear Energy Series No. NF-T-1.4 (60 pg)ISBN 978-92-0-102716-0, http://www-pub.iaea.org/books/IAEABooks/10974/In-Situ-Leach-Uranium-Mining-An-Overview-of-Operations, Annex: Worldwide U data, available as a Supplementary PDF online (or to order by CD), http://www-pub.iaea.org/books/IAEABooks/Supplementary_Materials/files/10974/100000/In-Situ-Leach-Uranium-Mining-Overview-Operations, A. Scott found online, all water volumes are found in the annex"
"AreaInformation.csv, AquiferExemptions.csv, DisposalVolumes.csv","Knape, 1984","Knape, B.K., December, 1984, Underground Injection Operations in Texas:  A Classification and Assessment of Underground Injection Activities, Report 291:  Texas Department of Water Resources, Austin, TX, 252 p. *Appendix 2: Uranium Solution Mines in Texas, 1983"
"TexasISROperations.csv, AquiferExemptions.csv","Larson, 1978","Larson, W.C., 1978, Uranium In Situ Leach Mining in the United States: U.S. Dept. of the Interior, Bureau of Mines, 1978, 68p."
DisposalVolumes.csv,"Mestena, 2012a","Mestena Uranium LLC, Apr 5, 2012a, Alta Mesa Facility (Mine Permit UR03060) PAA-1 Restoration Progress Report"
DisposalVolumes.csv,"Mestena, 2012b","Mestena Uranium LLC, October 10, 2012b, Alta Mesa Facility (Mine Permit UR03060) PAA-1 Restoration Progress Report"
DisposalVolumes.csv,"Mestena, 2013a","Mestena Uranium LLC, April 10, 2013a, Alta Mesa Facility (Mine Permit UR03060) PAA-1 Restoration Progress Report"
"DisposalVolumes.csv, Restoration.csv","Mestena, 2013b","Mestena Uranium LLC, October 10, 2013b, Alta Mesa Facility (Mine Permit UR03060) PAA-1 Restoration Progress Report"
