 MineName , MineData_RMK , MineData_SRC , ProdAreaName , PoreVolumeOfArea , PoreVolumeOfArea_RMK , VolWaterExtract , VolWaterExtract_RMK , VolWaterInjected , VolWaterInjected_RMK , Treat_Disp_Method , WaterDisp,StartDate,EndDate,Days,TreatWaterDisp_pct, PoreVolDisp 
 Alta Mesa ,," Mestena, 2014a; Mestena, 2015; Mestena, 2014b; Mestena, 2013b ", PAA-1 ,, Not available ,912909140,,735467720,,Deep Well Disposal (Extract-Injected),284,4/1/2013,3/31/2015,729,31.11,
 Kingsville Dome ,"Disposal values not explicitely stated, but references indicated 33% of volumes extracted and treated. "," UR_INC, 2013a ", PAA 1 (total) ,27279412,,742000000,,, Not reported , WDW248 (1/3 of Extacted vol) ,245,12/1/1999,12/1/2004,1827,33,9
 Kingsville Dome ," Disposal values not explicitely stated, but references indicated 33% of volumes extracted and treated. "," UR_INC, 2013b ", PPA 2 (total) ,31566456,,997500000,,, Not reported , WDW248 (1/3 of Extacted vol) ,329,1/1/2002,10/1/2010,3195,33,10.4
 Kingsville Dome ," Extracted and disposal volumes not explicitly stated.  Ref (URI, 2016, SEC report) states a total of 2.6 billion gallons treated so, calculated PAA-3 treatment as 2.6e9 gal - (PAA-1 vol+PAA-2 vol)."," UEC, 2016; UR_INC, 1988b ", PAA 3 ,33923975,,860500000,,, Not reported , Records not found ,284,1/1/2013,12/1/2013,334,33,8.4
 Palangana Dome ,," ChevronRC, 1994 ", PAA-1 ,46800000,,584540091,,205548913,," WDW-134 (79,495,750 gal) and  via irrigation or DDW (300,605,409 gal) ",379,9/1/1986,7/31/1994,2890,65.03,8.1
 Mt. Lucas (Estimated) , The fate of extracted water not explicitly stated in Restoration Amendment Justification reports ," EverestMC, 1986b ", PAA-1 (East E) ,5451494,,," Information not found, possibly because restoation amendment not requested ",,,,,,,,,
 Mt. Lucas ," The fate of extracted water not explicitly stated in Restoration Amendment Justification reports; reference only reports PVs and/or total cumulative volumes extracted for processing and processing method.  If Groundwater sweep, 100% disposal is assumed; if RO, 30% disposal is assumed as per referenced documents or if a water consumption rate is given then that is multiplied by the total time pumped/treated."," EverestEX, 1992a; EverestMC, 1980 ", PAA-2 (East EA) ,8310000,,85000000,,30996300,," GW Sweep, RO+Reinject+Land Application ",54,4/1/1986,3/1/1992,2161,63.53,6.5
 Mt Lucas (Estimated) , The fate of extracted water not explicitly stated in Restoration Amendment Justification reports ," EverestMC, 1986b ", PAA-3 (East H) ,5093058,,, Information not found  ,,,,,,,,,
 Mt. Lucas ," The fate of extracted water not explicitly stated in Restoration Amendment Justification reports;  reference only reports PVs and/or total cumulative volumes extracted for processing and processing method.  If Groundwater sweep, 100% disposal is assumed; if RO, 30% disposal is assumed as per referenced documents or if a water consumption rate is given then that is multiplied by the total time pumped/treated."," EverestEX, 1993; EverestMC, 1980 ", PAA-4 (East HM) ,8574491,,80000000,,42700965,," GW Sweep, Remove and Replace with Overlying Aquifer Groundwater ",37,3/1/1988,12/1/1992,1736,46.62,4.4
 Mt. Lucas ," The fate of extracted water not explicitly stated in Restoration Amendment Justification reports; reference only reports PVs and/or total cumulative volumes extracted for processing and processing method.  If Groundwater sweep, 100% disposal is assumed; if RO, 30% disposal is assumed as per referenced documents or if a water consumption rate is given then that is multiplied by the total time pumped/treated."," EverestEX, 1992b; EverestMC, 1980 ", PAA-5 (East Lillian) ,2333333,,14000000,,5623333,," GW Sweep, RO+Reinject+Land Application ",8,6/1/1988,3/1/1992,1369,59.83,3.6
