well_id,name,block,district,lon,lat,formation,kind,depth_m,casing_m,status,swl_mbgl,discharge_lps,drawdown_m,transmissivity_m2day,storativity,flowing,coord_note,note,sources
hesel_ew1,Hesel EW-1,Potka,East Singhbhum,86.15278,22.45833,Singhbhum granite,EW,204,3.86,productive,2,3.68,45.84,4,,,,"Six water-bearing zones to 141 m, the deepest the most productive.","P3 Annex-III p.49; P3 Table 11 p.12; ESP Table 2 p.20-21"
hesel_ew2,Hesel EW-2,Potka,East Singhbhum,86.15278,22.45833,,EW,300.81,23,productive,5.42,1.5,24.68,6,,,site position (one position is given for the site),"Deepest fracture recorded in the belt tables (230-232 m). Discharge 5.4 m3/h as printed.","ESP Table 2 p.21"
hesel_ow1,Hesel OW-1,Potka,East Singhbhum,86.15278,22.45833,,OW,300.88,10,productive,,0.75,,,,,site position (one position is given for the site),"Discharge 2.7 m3/h as printed.","ESP Table 2 p.21"
kudada_ew,Kudada EW,Jamshedpur,East Singhbhum,86.20639,22.75111,metasediments,EW,145.41,15.6,productive,2.42,8.83,18.21,19,6.91e-4,true,,"Recorded as an auto-flowing well (Table 17), yet the pumping test lists a static level of 2.42 m bgl; both are printed. Geophysics: 35-40 m weathered zone, fracture indications at 75-100 m. Deep-fracture sample: EC 721 uS/cm, Cl 7, SO4 5 mg/L (Table 15). About 3 km NE of Turamdih.","P3 Annex-III p.49; P3 Table 11 p.12; P3 Table 15 p.17; P3 Table 17 p.23; ESP Table 2 p.21"
kalapathar_ew,Kalapathar EW,Chakulia,East Singhbhum,86.77306,22.41111,Tertiary,EW,100,,productive,4.05,12.2,12.3,207,,,,"Tertiary in the pumping-test table (Table 11); listed as metasediments in Annexure III. The 2003 profile prints SWL 4.7 m, 44 m3/h, drawdown 13.75 m, T 207.7.","P3 Table 11 p.13; P3 Annex-III p.49; ESP Table 2 p.21"
ulda_ew1,Ulda EW-1,Potka,East Singhbhum,86.17222,22.65139,metasediments,EW,137.97,16.25,productive,,,,,,,,"Eastern flank of the Singhbhum shear zone. The 2003 profile puts the third fracture at 72-73 m; the later report at 129-130 m, and its resistivity log shows fractures at 37, 47, 56, 68 and 127 m. Compressor yield while drilling 32.97 m3/h.","P3 Annex-III p.49; P3 text p.22; ESP Table 2 p.20"
ulda_ow1,Ulda OW-1,Potka,East Singhbhum,86.17222,22.65139,metasediments,OW,171.49,13.5,productive,,7.5,,,,,site position (one position is given for the site),"Compressor yield while drilling 27 m3/h.","ESP Table 2 p.20"
ulda_ow2,Ulda OW-2,Potka,East Singhbhum,86.17222,22.65139,metasediments,OW,113.82,13.62,productive,,24.72,,,,,site position (one position is given for the site),"Compressor yield while drilling 89 m3/h, the highest in the belt tables.","ESP Table 2 p.20"
ulda_pz1,Ulda PZ-1,Potka,East Singhbhum,86.17222,22.65139,metasediments,PZ,9.48,5.81,unknown,,,,,,,site position (one position is given for the site),Shallow piezometer; no level printed.,"ESP Table 2 p.20"
ulda_pz2,Ulda PZ-2,Potka,East Singhbhum,86.17222,22.65139,metasediments,PZ,18.11,12,unknown,,,,,,,site position (one position is given for the site),Shallow piezometer; no level printed.,"ESP Table 2 p.20"
haldipokhar_ew,Haldipokhar EW,Potka,East Singhbhum,86.14167,22.59861,Singhbhum granite,EW,200,19.4,meagre,,,,,,,,,"P3 Annex-III p.49"
