SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Temperature (ºC),Turbidity (NTU)
1,Amda(bara),CGWB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,TONTO,TONTO,Amda(bara),-,-,-,-,-,-,22.50416667,85.75000000,25-05-2003 00:00,"",
2,Amrapara,CGWB,20,Jharkhand,337,Pakur,AMRAPARA,AMRAPARA,Amrapara,-,-,-,-,-,-,24.53194444,87.56805556,25-05-2004 00:00,"",
3,Amrapara,CGWB,20,Jharkhand,337,Pakur,AMRAPARA,AMRAPARA,Amrapara,-,-,-,-,-,-,24.53194444,87.56805556,25-05-2005 00:00,"",
4,Amrapara,CGWB,20,Jharkhand,337,Pakur,AMRAPARA,AMRAPARA,Amrapara,-,-,-,-,-,-,24.53194444,87.56805556,25-05-2008 00:00,"",
5,Amrapara,CGWB,20,Jharkhand,337,Pakur,AMRAPARA,AMRAPARA,Amrapara,-,-,-,-,-,-,24.53194444,87.56805556,25-05-2009 00:00,"",
6,Amrapara,CGWB,20,Jharkhand,337,Pakur,AMRAPARA,AMRAPARA,Amrapara,-,-,-,-,-,-,24.53194444,87.56805556,25-05-2010 00:00,"",
7,Amrapara,CGWB,20,Jharkhand,337,Pakur,AMRAPARA,AMRAPARA,Amrapara,-,-,-,-,-,-,24.53194444,87.56805556,25-05-2011 00:00,"",
8,Angara,CGWB,20,Jharkhand,339,RANCHI,ANGARA,ANGARA,Angara,-,-,-,-,-,-,23.39444444,85.51666667,25-05-2003 00:00,"",
9,Angara,CGWB,20,Jharkhand,339,RANCHI,ANGARA,ANGARA,Angara,-,-,-,-,-,-,23.39444444,85.51666667,25-05-2004 00:00,"",
10,Angara,CGWB,20,Jharkhand,339,RANCHI,ANGARA,ANGARA,Angara,-,-,-,-,-,-,23.39444444,85.51666667,25-05-2005 00:00,"",
11,Angara,CGWB,20,Jharkhand,339,RANCHI,ANGARA,ANGARA,Angara,-,-,-,-,-,-,23.39444444,85.51666667,25-05-2007 00:00,"",
12,Angara,CGWB,20,Jharkhand,339,RANCHI,ANGARA,ANGARA,Angara,-,-,-,-,-,-,23.39444444,85.51666667,25-05-2008 00:00,"",
13,Angara,CGWB,20,Jharkhand,339,RANCHI,ANGARA,ANGARA,Angara,-,-,-,-,-,-,23.39444444,85.51666667,25-05-2009 00:00,"",
14,Angara,CGWB,20,Jharkhand,339,RANCHI,ANGARA,ANGARA,Angara,-,-,-,-,-,-,23.39444444,85.51666667,25-05-2012 00:00,"",
15,Angara,CGWB,20,Jharkhand,339,RANCHI,ANGARA,ANGARA,Angara,-,-,-,-,-,-,23.39444444,85.51666667,25-05-2013 00:00,"",
16,Anjam gram,CGWB,20,Jharkhand,331,GUMLA,GUMLA,GUMLA,Anjam gram,-,-,-,-,-,-,23.06944444,84.51250000,25-05-2003 00:00,"",
