id,date,state_name,state_code,district_name,district_code,station_name,latitude,longitude,basin,sub_basin,source,currentlevel,level_diff
428550,2013-05-14,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,2.25,0.55
428551,2013-08-24,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,5.89,3.64
428552,2013-11-04,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,1.37,-4.52
428553,2014-01-04,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,1.75,0.38
428554,2014-05-14,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,3.0,1.25
428555,2014-08-24,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,1.4,-1.6
428556,2014-11-04,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,1.95,0.55
428557,2015-01-04,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,2.5,0.55
428558,2015-05-14,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,2.75,0.25
428559,2015-08-24,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,2.26,-0.49
428560,2015-11-04,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,3.13,0.87
428561,2016-05-14,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,4.41,1.28
428562,2016-08-24,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,0.98,-3.43
428563,2016-11-04,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,2.35,1.37
428564,2017-01-04,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,2.6,0.25
428565,2017-05-14,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,3.0,0.4
428566,2017-08-24,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,1.15,-1.85
428567,2017-11-04,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,1.6,0.45
428568,2018-01-09,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,2.31,0.71
428569,2018-05-29,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,3.1,0.79
428570,2018-08-29,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,1.4,-1.7
428571,2019-05-29,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,2.89,1.49
428572,2019-08-29,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,1.0,-1.89
428573,2019-11-09,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,0.92,-0.08
428574,2020-01-09,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,3.21,2.29
428575,2020-08-24,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,2.2,-1.01
428576,2020-11-29,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,1.73,-0.47
428577,2021-01-09,Jharkhand,20,Bokaro,322,Chandrapura,23.75028,86.13361,Ganga,Damodar,CGWB,2.61,0.88
428578,2013-01-01,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,3.99,1.38
428579,2013-01-04,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,6.07,2.08
428580,2013-05-14,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,6.75,0.68
428581,2013-08-24,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,4.87,-1.88
428582,2013-11-04,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,2.68,-2.19
428583,2014-01-04,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,3.1,0.42
428584,2014-05-14,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,7.3,4.2
428585,2014-08-24,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,2.55,-4.75
428586,2014-11-04,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,3.17,0.62
428587,2015-01-04,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,6.25,3.08
428588,2015-05-14,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,8.31,2.06
428589,2015-08-24,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,3.47,-4.84
428590,2015-11-04,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,6.26,2.79
428591,2016-05-14,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,9.91,3.65
428592,2016-08-24,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,4.45,-5.46
428593,2016-11-04,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,4.6,0.15
428594,2017-01-04,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,6.22,1.62
428595,2017-05-14,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,9.61,3.39
428596,2017-08-24,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,3.9,-5.71
428597,2017-11-04,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,5.75,1.85
428598,2018-01-09,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,8.51,2.76
428599,2018-05-29,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,8.65,0.14
428600,2018-08-29,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,3.37,-5.28
428601,2019-05-29,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,8.56,5.19
428602,2019-08-29,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,4.59,-3.97
428603,2019-11-09,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,4.44,-0.15
428604,2020-01-09,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,5.68,1.24
428605,2020-08-24,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,3.1,-2.58
428606,2020-11-29,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,4.11,1.01
428607,2021-01-09,Jharkhand,20,Bokaro,322,Nawadih,23.85,86.03333,Ganga,Damodar,CGWB,7.14,3.03
428608,2013-01-01,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,8.0,0.86
428609,2013-05-14,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,12.65,4.65
428610,2013-08-24,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,10.97,-1.68
428611,2013-11-04,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,7.23,-3.74
428612,2014-01-04,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,10.02,2.79
428613,2014-05-14,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,12.65,2.63
428614,2014-08-24,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,9.45,-3.2
428615,2014-11-04,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,10.5,1.05
428616,2015-05-14,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,11.6,1.1
428617,2015-08-24,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,11.38,-0.22
428618,2015-11-04,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,12.65,1.27
428619,2016-08-24,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,9.98,-2.67
428620,2016-11-04,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,11.41,1.43
428621,2017-01-04,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,12.4,0.99
428622,2017-05-14,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,12.63,0.23
428623,2017-08-24,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,10.2,-2.43
428624,2017-11-04,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,10.82,0.62
428625,2018-01-09,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,12.32,1.5
428626,2018-05-29,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,11.1,-1.22
428627,2018-08-29,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,9.25,-1.85
428628,2019-05-29,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,12.65,3.4
428629,2019-11-09,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,9.59,-3.06
428630,2020-08-24,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,8.5,-1.09
428631,2020-11-29,Jharkhand,20,Bokaro,322,Chas,23.63333,86.01667,Ganga,Damodar,CGWB,7.78,-0.72
