area,deposits,species,value,statistic,n_samples,range_lo,range_hi,period,served,citation,doi,note
jaduguda_bhatin,Jaduguda;Bhatin,uranium_ppb,1.1,median,,0.5,10.9,2010s,yes,"Jha, Kumar, Sethy, Sahoo, Ravi & Tripathi (2014) Radiat. Prot. Environ. 37(3-4):143-149",,"Village wells within 0.5 km of the Jaduguda tailings pond; about one third of samples below the 0.5 ug/L detection limit; no tailings contribution found (INIS 34298-jjk38). Served over Tripathi 2008 because a median is robust to the skew a regional average carries."
jaduguda_bhatin,Jaduguda;Bhatin,uranium_ppb,3.6,regional average,,,,2000s,no,"Tripathi, Sahoo, Jha, Khan & Puranik (2008) Appl. Radiat. Isot. 66(11):1666-1670",10.1016/j.apradiso.2007.12.019,"'the regional average of 3.6 ug/L' (abstract). Not served: an arithmetic average where a median exists."
jaduguda_bhatin,Jaduguda;Bhatin,radium_226_mbq_l,23.0,regional average,,,,2000s,yes,"Tripathi, Sahoo, Jha, Khan & Puranik (2008) Appl. Radiat. Isot. 66(11):1666-1670",10.1016/j.apradiso.2007.12.019,"'the regional average of ... 23 mBq/L' (abstract). The only central value published for Jaduguda radium; the model's former statewide constant."
jaduguda_bhatin,Jaduguda;Bhatin,radium_226_mbq_l,,range only,,3.5,208,2000s,no,"Tripathi, Jha, Sahoo, Sethy, Shukla, Puranik & Kushwaha (2012) Radiat. Prot. Dosim. 148(2):211-218",10.1093/rpd/ncr014,"Potable wells <3.5-208 mBq/L; median does not vary significantly up to >10 km; natural artesian wells near the mineralised hill 53.4-754 mBq/L (abstract, Europe PMC 21345879). No central value published."
narwapahar,Narwapahar,uranium_ppb,0.87,arithmetic mean,,0.1,3.75,2007-2008,yes,"Rana, Tripathi, Sahoo, Sethy, Sribastav, Shukla & Puranik (2010) J. Radioanal. Nucl. Chem. 285(3):711-717",10.1007/s10967-010-0608-3,"Wells within a 10 km radius of the mine (abstract). Only an arithmetic mean is published."
narwapahar,Narwapahar,radium_226_mbq_l,13.73,arithmetic mean,,5.2,38.1,2007-2008,yes,"Rana, Tripathi, Sahoo, Sethy, Sribastav, Shukla & Puranik (2010) J. Radioanal. Nucl. Chem. 285(3):711-717",10.1007/s10967-010-0608-3,"Wells within a 10 km radius of the mine (abstract). Only an arithmetic mean is published."
turamdih_complex,Turamdih;Banduhurang;Mohuldih,uranium_ppb,0.99,geometric mean,153,0.1,8.4,four years after the 2007 mill commissioning,yes,"Kumar, Jha, Sahoo, Jha, Kumar, Ravi & Tripathi (2015) Curr. Sci. 108(12):2266-2272",,"GM of all data sets, stated as 24.8 Bq/m3 at 25 Bq/mg (= 0.99 ug/L). Village wells and tube wells in three distance sectors around the Turamdih tailings pond. Served over Giri 2011 (larger sample, four years)."
turamdih_complex,Turamdih;Banduhurang;Mohuldih,radium_226_mbq_l,19.8,geometric mean,153,4,269,four years after the 2007 mill commissioning,yes,"Kumar, Jha, Sahoo, Jha, Kumar, Ravi & Tripathi (2015) Curr. Sci. 108(12):2266-2272",,"Median of the three distance-sector GMs (<1.6 km 20.3, 1.6-5 km 19.8, >5 km 18.1); no significant difference with distance or year (ANOVA p = 0.90). Served over Giri 2011 (larger sample, four years)."
turamdih_complex,Turamdih;Banduhurang;Mohuldih,uranium_ppb,2.15,geometric mean,40,0.5,27.5,2006-2007,no,"Giri, Singh & Jha (2011) Radioprotection 46(1):39-57",10.1051/radiopro/2010056,"Banduhurang mining area, ten villages incl. Kudada and Turamdih, four seasons. Not served: smaller sample than Kumar 2015 over the same ground."
turamdih_complex,Turamdih;Banduhurang;Mohuldih,radium_226_mbq_l,9.1,geometric mean,40,3.5,82,2006-2007,no,"Giri, Singh & Jha (2011) Radioprotection 46(1):39-57",10.1051/radiopro/2010056,"Banduhurang mining area; half the Kumar 2015 value over the same ground, recorded rather than averaged away. Not served: smaller sample."
turamdih_complex,Turamdih;Banduhurang;Mohuldih,uranium_ppb,0.98,geometric mean,178,0.11,2.44,four years after the 2007 mill commissioning,no,"Kumar et al. (2015) Curr. Sci. 108(12):2266-2272",,"The ten monitoring bore wells on the tailings-pond bund, not village water. Not served as ambient background."
turamdih_complex,Turamdih;Banduhurang;Mohuldih,radium_226_mbq_l,8.3,geometric mean,178,3,22,four years after the 2007 mill commissioning,no,"Kumar et al. (2015) Curr. Sci. 108(12):2266-2272",,"Tailings-pond bund bore wells. Not served as ambient background."
bagjata,Bagjata,uranium_ppb,3.22,geometric mean,40,0.5,11.2,2006-2007,yes,"Giri, Singh & Jha (2011) Radioprotection 46(1):39-57",10.1051/radiopro/2010056,"Bagjata mining area, ten villages, four seasons (GSD 2.0). Giri & Jha 2012 (doi 10.1051/radiopro/2012020) recompute 3.31 on the same data."
bagjata,Bagjata,radium_226_mbq_l,12.44,geometric mean,40,3.5,206,2006-2007,yes,"Giri, Singh & Jha (2011) Radioprotection 46(1):39-57",10.1051/radiopro/2010056,"Bagjata mining area, ten villages, four seasons (GSD 2.54); the 206 mBq/L maximum is Bagjata village next to the mine."
singhbhum_regional,,uranium_ppb,1.2,geometric mean,108,0.5,14.7,post-monsoon,no,"Molla, Kumar, Singhal, Srivastava & Jha (2025) J. Radioanal. Nucl. Chem. 334:1021-1032",10.1007/s10967-024-09888-7,"108 borewells and handpumps across East Singhbhum and Saraikela-Kharsawan (median 0.8). Not served: the far-field uranium anchor is the CGWB network, which measures uranium; this survey corroborates it."
singhbhum_regional,,radium_226_mbq_l,10.0,geometric mean,108,3.5,185,post-monsoon,yes,"Molla, Kumar, Singhal, Srivastava & Jha (2025) J. Radioanal. Nucl. Chem. 334:1021-1032",10.1007/s10967-024-09888-7,"Median 7.0, mean 18. The regional anchor away from the mining-area surveys: the only regional radium survey in Jharkhand, borrowed (and flagged) outside East Singhbhum and Saraikela-Kharsawan. Also: ORP +28 to +138 mV (oxic), pH 5.3-7.7."
