S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb),source_table
1,Jharkhand,Bokaro,Phusro_Bermo,86.0011,23.7634,2023,7.75,1545,0,506,217,0.57,41,5,0.00,560,100,75,95,6,-,-,3.35,waterQuality_table36
2,Jharkhand,Bokaro,Baramasia,86.3084,23.4805,2023,8.11,190,0,67,21,0.59,8,2,0.00,70,14,9,11,0,-,-,2.88,waterQuality_table36
3,Jharkhand,Bokaro,Chandankiyari,86.3553,23.5758,2023,7.97,785,0,329,85,0.61,83,23,0.09,285,78,22,89,9,-,-,20.46,waterQuality_table36
4,Jharkhand,Bokaro,Nutandih,86.3287,23.5256,2023,7.79,2235,0,622,291,0.47,161,26,0.28,1030,312,61,38,7,-,-,7.53,waterQuality_table36
5,Jharkhand,Bokaro,Bokaro Railway Station,86.0835,23.6588,2023,7.96,771,0,348,28,0.82,47,13,0.11,215,60,16,75,11,-,-,3.63,waterQuality_table36
6,Jharkhand,Bokaro,Chas,86.1774,23.626,2023,7.98,785,0,250,67,0.91,80,5,0.00,305,96,16,40,1,-,-,12.09,waterQuality_table36
7,Jharkhand,Bokaro,Jaina More,86.0262,23.6699,2023,8.18,1148,0,262,167,0.52,94,33,0.00,450,118,38,55,1,-,-,15.81,waterQuality_table36
8,Jharkhand,Bokaro,Pindarjora New,86.2023,23.5139,2023,8.24,1780,0,482,270,0.43,96,12,0.00,535,166,29,139,44,-,-,5.21,waterQuality_table36
9,Jharkhand,Bokaro,Radhagaon Rly Station,86.0888,23.5967,2023,7.63,2127,0,555,320,0.34,116,41,0.00,810,238,52,109,16,-,-,2.51,waterQuality_table36
10,Jharkhand,Bokaro,Gomia,85.8219,23.8001,2023,7.88,1405,0,580,124,1.36,47,3,0.00,405,88,45,131,9,-,-,2.14,waterQuality_table36
11,Jharkhand,Bokaro,Tenughat,85.8445,23.7228,2023,7.79,549,0,183,50,0.74,37,14,0.21,230,62,18,21,1,-,-,7.35,waterQuality_table36
12,Jharkhand,Bokaro,Banchas,85.9715,23.6229,2023,7.17,230,0,98,21,0.74,4,2,0.00,95,28,6,5,7,-,-,4.74,waterQuality_table36
13,Jharkhand,Bokaro,Harmu,85.9365,23.6246,2023,7.62,492,0,226,32,0.39,11,6,0.00,200,42,23,18,4,-,-,2.88,waterQuality_table36
14,Jharkhand,Bokaro,Nawadih,86.0422,23.8494,2023,7.89,920,0,268,97,0.71,80,24,0.09,385,104,30,34,0,-,-,5.49,waterQuality_table36
15,Jharkhand,Bokaro,Petarbar,85.8468,23.6162,2023,7.8,1016,0,238,174,0.88,44,27,0.00,365,96,30,60,8,-,-,13.95,waterQuality_table36
16,Jharkhand,Bokaro,Chandrapura,86.1185,23.7514,2023,7.64,1130,0,195,231,1.51,73,2,0.11,420,110,35,63,5,-,-,11.16,waterQuality_table36
17,Jharkhand,Chatra,Behra Chocha,84.983,24.2187,2023,7.39,870,0,323,71,0.59,49,27,0.00,355,40,62,34,4,-,-,16.20,waterQuality_table36
18,Jharkhand,Chatra,Chatra1,84.8721,24.2021,2023,7.63,1420,0,488,178,0.36,50,6,0.00,385,76,47,141,14,-,-,8.39,waterQuality_table36
19,Jharkhand,Chatra,Gidhaur,85.0247,24.1757,2023,7.51,1609,0,543,153,1.51,99,47,0.00,565,94,80,95,26,-,-,16.58,waterQuality_table36
20,Jharkhand,Chatra,Lohsinghna Khurd,84.8025,24.3459,2023,7.52,1771,0,519,238,1.53,86,38,0.09,550,62,96,150,9,-,-,17.62,waterQuality_table36
21,Jharkhand,Chatra,Itkhori1,85.1662,24.3026,2023,7.72,583,0,250,39,0.81,25,8,0.12,220,34,33,30,3,-,-,4.06,waterQuality_table36
22,Jharkhand,Chatra,Kanha Chatti,85.0318,24.2908,2023,7.63,1668,0,549,185,0.29,91,31,0.00,455,102,49,150,44,-,-,6.64,waterQuality_table36
23,Jharkhand,Chatra,Bariya Chak,84.6426,24.2153,2023,8.17,483,0,214,32,0.86,11,13,0.00,190,36,24,19,9,-,-,0.72,waterQuality_table36
24,Jharkhand,Chatra,Bandu,84.7583,24.0685,2023,7.41,431,0,183,21,0.5,26,5,0.05,185,28,28,12,4,-,-,2.72,waterQuality_table36
25,Jharkhand,Chatra,Mayurhand,85.2423,24.2941,2023,7.83,1071,0,250,146,0.67,84,44,0.00,430,80,56,46,6,-,-,14.24,waterQuality_table36
26,Jharkhand,Chatra,Barwadih,85.0618,24.1143,2023,7.66,448,0,146,36,0.51,27,34,0.00,155,28,21,19,21,-,-,1.06,waterQuality_table36
27,Jharkhand,Chatra,Kukurman,84.6691,24.3078,2023,8.13,595,0,311,14,0.82,9,12,0.06,225,42,29,30,5,-,-,1.28,waterQuality_table36
28,Jharkhand,Chatra,Bagra,84.8577,24.0367,2023,7.45,1158,0,372,131,0.46,53,42,0.00,375,88,38,85,13,-,-,2.68,waterQuality_table36
29,Jharkhand,Chatra,Birhu,85.1824,23.9862,2023,7.5,689,0,153,75,0.17,86,34,0.00,245,66,19,43,3,-,-,0.00,waterQuality_table36
30,Jharkhand,Chatra,Piri,85.1139,24.0043,2023,7.42,1365,0,525,92,0.69,95,32,0.00,490,88,66,65,45,-,-,2.99,waterQuality_table36
31,Jharkhand,Chatra,Tutilawa1,85.0331,24.0387,2023,7.37,1369,0,384,170,0.3,95,40,0.00,540,134,50,62,6,-,-,2.82,waterQuality_table36
32,Jharkhand,Chatra,Teliyadih,84.999,23.9537,2023,7.74,1917,0,555,259,0.47,97,42,0.00,530,144,41,165,55,-,-,4.37,waterQuality_table36
33,Jharkhand,Deoghar,Deoghar,86.71,24.4863,2023,8.06,1201,0,397,135,0.46,55,35,0.13,385,78,46,90,13,-,-,0.00,waterQuality_table36
34,Jharkhand,Deoghar,Jasidih,86.6455,24.5144,2023,7.89,1275,0,403,146,0.39,67,41,0.15,420,120,29,92,13,-,-,0.32,waterQuality_table36
35,Jharkhand,Deoghar,Chaudharidih,86.5464,24.3616,2023,8.06,685,0,275,57,0.61,27,13,0.15,260,68,22,37,0,-,-,0.00,waterQuality_table36
36,Jharkhand,Deoghar,Karon Bus Stand,86.7415,24.1244,2023,7.55,785,0,134,149,0.16,49,30,0.14,275,66,27,49,8,-,-,0.00,waterQuality_table36
37,Jharkhand,Deoghar,Madhupur,86.6473,24.2677,2023,7.92,1731,0,531,220,0.72,85,35,0.21,615,167,48,112,6,-,-,1.21,waterQuality_table36
38,Jharkhand,Deoghar,Rampur,86.6085,24.2058,2023,7.78,382,0,110,46,0.53,13,23,0.21,140,36,12,20,6,-,-,0.32,waterQuality_table36
39,Jharkhand,Deoghar,Ghormara,86.8653,24.4485,2023,7.67,1121,0,348,135,0.41,49,39,0.19,400,72,53,69,10,-,-,0.00,waterQuality_table36
40,Jharkhand,Deoghar,Palajori,87.011,24.2394,2023,8.13,967,0,311,114,0.61,42,28,0.14,360,78,40,54,7,-,-,0.00,waterQuality_table36
41,Jharkhand,Deoghar,Sarath,86.8401,24.2374,2023,8.24,574,0,189,50,0.57,34,30,0.14,235,68,16,24,1,-,-,1.11,waterQuality_table36
42,Jharkhand,Deoghar,Sarawan,86.7804,24.3842,2023,8.04,645,0,207,67,0.75,25,35,0.19,255,82,12,28,5,-,-,0.00,waterQuality_table36
43,Jharkhand,Deoghar,Ashubandha,86.8945,24.3686,2023,7.74,403,0,153,43,0.75,6,12,0.14,170,32,22,13,1,-,-,1.02,waterQuality_table36
44,Jharkhand,Dhanbad,Mahuda,86.2659,23.7508,2023,7.77,1123,0,317,135,0.68,81,34,0.00,370,120,17,84,6,-,-,23.66,waterQuality_table36
45,Jharkhand,Dhanbad,Pandadih,86.5229,23.7462,2023,7.72,943,0,329,50,0.61,96,41,0.11,395,96,38,29,10,-,-,9.10,waterQuality_table36
46,Jharkhand,Dhanbad,Basudeopur,86.3684,23.782,2023,8.02,1699,0,506,217,0.72,116,11,0.15,660,210,33,65,35,-,-,2.73,waterQuality_table36
47,Jharkhand,Dhanbad,Dbl Buglow,86.4327,23.8035,2023,7.91,885,0,342,78,1.11,38,9,0.00,300,86,21,55,21,-,-,10.92,waterQuality_table36
48,Jharkhand,Dhanbad,Dhaiya Ism,86.4355,23.8207,2023,8.28,611,0,220,46,0.52,42,23,0.00,255,54,29,20,3,-,-,13.65,waterQuality_table36
49,Jharkhand,Dhanbad,Godhar Basti,86.3875,23.7858,2023,7.18,705,0,122,117,0.24,59,36,0.00,200,60,12,51,31,-,-,22.75,waterQuality_table36
50,Jharkhand,Dhanbad,Pkroy College,86.4482,23.8137,2023,7.3,525,0,207,32,1.03,35,8,0.00,195,40,23,25,12,-,-,19.11,waterQuality_table36
51,Jharkhand,Dhanbad,Purandih Jorapokhar,86.4761,23.7825,2023,8.09,1621,0,555,78,0.32,234,5,0.00,585,80,94,91,19,-,-,22.75,waterQuality_table36
