porosity,hydraulic_conductivity,transmissivity,specific_yield,storage_coefficient,dtw_decadal_avg,thickness,transmissivity_to_porosity_ratio,distance_to_nearest_isr_km,nearest_isr_injection_rate,well_depth,month,year,vulnerability_proxy,aquifer_type,season,__target_tds__,__target_class__,__sample_id__,__well_id__,__sampled_at__,__synthetic__
0.2,0.5,-100.0,3.0,,-2.5,240.0,-499.9975000124999,,,,1,2023,-0.00019999999800000007,sandstone,post_monsoon,1004.25,unsafe,1960dd5b-ceec-4fa9-bee8-23eab3a197c0,e8ca1c48-3125-451c-b10c-fbd8828cbb4d,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,123.5,safe,c0930280-70b8-4209-8d50-428ea472f729,42959adc-2412-4d16-bdd1-fa4ddb87cb28,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,510.25,marginal,106f825c-fb1e-4cac-8b41-1836c93f6fc3,e7a43cb6-7d32-4056-b155-c4dac0a01471,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,1452.75,unsafe,9b21ad5a-2cfe-44d5-812f-c2ad3309f339,95781772-1680-4edd-9b7b-e9e2bb9de33f,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,501.15000000000003,marginal,b81db1f0-f87f-4d93-9510-1933b26252f7,c365b956-5b61-49a5-9241-eab26dc635ae,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,510.25,marginal,dd41c6d6-6782-494d-b44b-4efba4909e53,dc6d5526-0c35-406f-8c57-cb1b52da029d,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,746.2,marginal,edb2ba06-1230-4658-b2e5-0f8c63ca274f,6a2ede7a-1036-4061-81bd-7fa003bc25b1,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,1157.0,unsafe,afd8f79b-b02f-4283-a506-179f6bfa5784,829aa1cb-63c6-4b12-890a-00435b8b8de3,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,1382.55,unsafe,e5a2dcb3-9517-4af0-9755-7e7291e5a4e4,676a1342-34e0-4f64-83c9-ca5a823e8cc3,2023-01-01,False
0.2,0.5,-100.0,3.0,,-2.5,240.0,-499.9975000124999,,,,1,2023,-0.00019999999800000007,sandstone,post_monsoon,913.25,marginal,937435c6-7a8f-49e2-acd3-01473a69b995,8f7e3b55-2734-4bf8-8e02-b1b308afdf54,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,356.85,safe,67edb948-8aaa-4cb7-8ddd-9e9763ef2d08,1c5769d2-d6a4-4a21-ab00-1825c04c8ad1,2023-01-01,False
