ph,ec_us_cm,tds_mg_l,uranium_ppb,nitrate_mg_l,fluoride_mg_l,chloride_mg_l,sulphate_mg_l,total_hardness,calcium_mg_l,magnesium_mg_l,sodium_mg_l,potassium_mg_l,bicarbonate_mg_l,carbonate_mg_l,phosphate_mg_l,arsenic_ppb,iron_ppm,do_mg_l,turbidity_ntu,sampled_at,well_index,well_name,latitude,longitude,synthetic
7.78,1633.3064061875332,701.1760652655953,57.10633936788146,10.0,0.22,46.0,52.0,160.0,28.0,24.0,36.0,5.0,122.0,0.0,0.0,4.981348068371608,1.266596994572771,2.894226270760815,1.7475181151493986,2025-11-03T00:00:00+00:00,14,SYN-WELL-0014,24.171514120002065,85.36187602454709,True
7.63,788.0,507.0,0.98,7.0,0.25,82.0,46.0,240.0,50.0,27.0,73.0,3.0,244.0,0.0,0.0,0.0,0.21828237322216035,8.351890212358077,7.327205079659484,2024-04-05T00:00:00+00:00,49,SYN-WELL-0049,25.3166418259233,83.94984904878329,True
7.99,1158.0,970.2783174699109,11.66,25.0,0.15,202.0,90.0,335.0,62.0,44.0,117.0,6.0,287.0,0.0,0.0,0.0,1.2917692973535313,9.29725667057821,3.2537004957980162,2023-03-02T00:00:00+00:00,36,SYN-WELL-0036,24.478257727087573,83.90413499980994,True
7.59,218.0,143.0,0.0,0.0,0.0,18.0,4.0,75.0,54.0,4.0,6.0,4.0,92.0,0.0,0.0,4.308320022617118,0.0,3.4952452157842773,10.375379517776182,2023-11-29T00:00:00+00:00,43,SYN-WELL-0043,23.283574291337686,84.75250488242649,True
7.8,806.0,522.6,3.5,28.0,0.43,110.0,52.0,310.0,52.0,28.0,52.0,10.0,244.0,0.0,0.0,6.208520251485233,0.0,5.862165624068253,1.3767361783920942,2024-08-18T00:00:00+00:00,29,SYN-WELL-0029,24.693643731872445,86.47617763257742,True
7.37,1089.0,1000.0,4.04,28.0,0.51,99.0,92.0,350.0,106.0,21.0,66.0,26.0,336.0,0.0,0.16,0.0,0.0,3.671273282405666,9.128506102867938,2024-02-22T00:00:00+00:00,25,SYN-WELL-0025,22.934843622076986,84.20506999151165,True
7.29,316.0,201.5,0.0,24.0,0.0,28.0,3.0,120.0,32.0,11.0,10.0,8.0,122.0,0.0,0.0,6.983724208003986,0.45644818484246263,4.84323191630188,5.872558122175883,2023-01-03T00:00:00+00:00,1,SYN-WELL-0001,21.975767944128517,85.34078474484704,True
7.93,564.0,362.05,2.19,2.0,1.19,21.0,22.0,150.0,40.0,11.0,59.0,7.0,275.0,0.0,0.0,0.0,1.2916646816044288,8.64624479032045,3.370155723652078,2025-12-19T00:00:00+00:00,3,SYN-WELL-0003,24.276977998072113,86.54276133512604,True
8.02,1439.167214381514,542.3985258083148,56.68413703502374,9.0,0.27,14.0,11.0,110.0,38.0,9.0,6.0,0.0,79.0,0.0,0.12,11.678128094026999,0.02850054355225895,4.559960614092327,5.669769351439697,2023-11-29T00:00:00+00:00,35,SYN-WELL-0035,22.265167512714747,84.18104181974192,True
7.89,2008.0,1305.2,1.75,7.0,0.6,234.0,227.0,615.0,194.0,44.0,142.0,45.0,567.0,0.0,0.15,1.8882134270529507,0.11631461652489405,4.885132567973196,4.545057550116769,2024-11-08T00:00:00+00:00,11,SYN-WELL-0011,23.598836721500962,87.609457198146,True
